tollf_num,rtn_new,affixed,campaign,client,endpoint,rtn_line,btn_line,line_active_date
(855) 762-0419,308-330-0819,Yes,,,,(630) 593-5647,(630) 622-0813,20140102
(855) 894-2892,308-270-2341,Yes,,,,(630) 593-5647,(630) 622-0813,20140102
(855) 894-2957,308-371-1536,Yes,,,,(630) 593-5646,(630) 622-0813,20140102
(855) 894-3274,308-310-5155,Yes,,,,(630) 593-5646,(630) 622-0813,20140102
(855) 894-3275,308-833-8402,Yes,,,,(630) 593-5643,(630) 622-0813,20140102
(855) 894-3276,308-310-8857,Yes,,,,(630) 593-5643,(630) 622-0813,20140102
(855) 894-3277,308-888-2449,Yes,,,,(630) 239-5930,(630) 622-0813,20140102
(855) 894-3280,308-310-8623,Yes,,,,(630) 239-5930,(630) 622-0813,20140102
(855) 894-3281,308-888-2473,Yes,Duke Seth,,224-276-2962,(630) 622-1012,(630) 622-0813,20140102
(855) 894-3282,308-310-8868,Yes,,,,(630) 405-2247,(630) 622-0813,20140102
(855) 894-3283,308-310-8641,Yes,,,,(630) 622-1013,(630) 622-0813,20140102
(866) 223-9312,308-888-2646,Yes,,,,(630) 622-0800,(630) 622-0800,20111018
(866) 230-0625,308-562-4388,Yes,,,,(630) 622-0801,(630) 622-0801,20111018
(866) 230-1538,308-888-5887,Yes,,,,(630) 622-0802,(630) 622-0802,20111018
(866) 230-1539,308-304-3782,Yes,,,,(630) 622-0803,(630) 622-0803,20111018
(866) 230-3417,308-800-6428,Not yet,,,,(630) 622-0804,(630) 622-0804,20111018
(866) 230-5080,308-304-3988,Yes,,,,(630) 622-0805,(630) 622-0805,20111018
(866) 230-5366,308-310-8613,Yes,,,,(630) 622-0819,(630) 622-0819,20111018
(866) 230-5367,308-330-0446,Yes,,,,(630) 622-0806,(630) 622-0806,20111018
(866) 230-5616,308-371-0365,Yes,,,,(630) 622-0807,(630) 622-0807,20111018
(866) 230-5735,308-310-8687,Yes,,,,(630) 622-0808,(630) 622-0808,20111018
(866) 230-6269,308-737-2392,Yes,,,,(630) 622-0809,(630) 622-0809,20111018
(866) 230-6398,308-737-2869,Yes,,,,(630) 622-0810,(630) 622-0810,20111018
(866) 230-6448,308-270-7949,Yes,,,,(630) 622-0811,(630) 622-0811,20111018
(866) 230-6664,308-832-9969,Yes,,,,(630) 622-0812,(630) 622-0812,20111018
(866) 230-6768,308-737-2698,Yes,,,,(630) 622-0813,(630) 622-0813,20111018
(866) 230-7383,308-562-4414,Yes,,,,(630) 622-0814,(630) 622-0814,20111018
(866) 230-7530,308-888-2455,Yes,,,,(630) 622-0815,(630) 622-0815,20111018
(866) 230-7932,308-330-1864,Yes,,,,(630) 622-0816,(630) 622-0816,20111018
(866) 230-9637,308-321-6403,Yes,,,,(630) 622-0817,(630) 622-0817,20111018
(866) 230-9916,308-321-1719,Yes,,,,(630) 622-0818,(630) 622-0818,20111018
(866) 288-3645,308-832-9983,Yes,,,,(630) 941-1445,(630) 941-1398,20030407
(866) 288-3646,308-351-4353,Not yet,,,,(630) 941-1445,(630) 941-1417,20030414
(866) 288-3647,308-800-4993,Not yet,,,,(630) 941-1445,(630) 941-1417,20030414
(866) 288-3648,308-562-4912,Yes,,,,(630) 941-1445,(630) 941-1398,20030407
(866) 288-3649,308-737-2457,Yes,,,,(630) 941-1445,(630) 941-1417,20030414
(866) 288-3651,308-888-2778,Yes,,,,(630) 941-1445,(630) 941-1417,20030414
(866) 288-3652,308-330-1068,Yes,,,,(630) 941-1445,(630) 941-1475,20030407
(866) 288-3653,308-310-8943,Yes,,,,(630) 941-1445,(630) 941-1417,20030414
(866) 288-3654,,,Do NOT Use,,,(630) 941-1445,(630) 941-1417,20030414
(866) 288-3655,308-371-2935,Yes,Texas Storm Shlter 2,,972-955-5775,(630) 941-1445,(630) 941-1475,20030407
(866) 342-8226,307-683-9008,Yes,Texas Storm Shelter 1,,972-955-5775,(630) 782-1373,(630) 941-1286,20031002
(866) 345-2263,,,Do NOT Use,,,(630) 941-1398,(630) 941-1286,20031002
(866) 345-3328,308-330-0216,Yes,Texas Storm Shelter 3,,972-955-5775,(512) 768-8183,(630) 941-1286,20031002
(866) 345-7366,,,Do NOT Use,,,(630) 834-1379,(630) 941-1286,20031002
(866) 345-7623,308-371-2744,Yes,,,,(630) 782-1467,(630) 941-9200,20040114
(866) 345-7645,,,Do NOT Use,,,,,
(866) 345-8746,,,Do NOT Use,,,(630) 782-1387,(630) 941-1286,20031002
(866) 374-6642,,,Do NOT Use,,,(630) 782-1373,(630) 941-1286,20031002
(866) 577-4576,,,Do NOT Use,,,(630) 941-1286,(630) 941-1286,20030407
(866) 577-4676,308-833-8095,Yes,Senior Healthcare Advisors ,,855-824-6618,(619) 378-0893,(630) 941-1286,20030414
(866) 577-4679,308-300-1893,Yes,Southern Current,,407-577-5148,(619) 378-0879,(630) 941-1286,20030407
(866) 577-4680,308-832-9853,Yes,,,,(619) 653-1046,(630) 941-1286,20030407
(866) 577-4681,308-310-7879,Yes,Community Care,Paseo Ranch Podiatric,623-292-6585,(619) 653-1047,(630) 941-1286,20030407
(866) 577-4684,308-304-3882,Yes,LRT Offers 1,,602-362-4742,(904) 432-3219,(630) 941-1286,20030407
(866) 577-4685,308-270-3022,Yes,LRT Offers,,602-362-4742,(504) 500-9358,(630) 941-1286,20030407
(866) 577-4688,308-321-7622,Yes,,,,(619) 653-1048,(630) 941-1286,20030414
(866) 629-2036,,,Do NOT Use,,,(630) 782-1598,(630) 782-1558,20030407
(866) 761-0952,308-310-8508,Yes,,,,(619) 653-1224,(630) 941-1357,20030407
(866) 761-0953,308-304-4630,Yes,Knee Gel,Dr. Kotis Cosmetic Surgery,224-228-2098,(619) 653-1225,(630) 941-1357,20030407
(866) 761-0954,308-562-3825,Yes,Knee Gel,Dr. Kotis Cosmetic Surgery,224-228-2098,(619) 653-1226,(630) 941-1357,20030407
(866) 761-0955,308-401-4895,Yes,Knee Gel,Dr. Kotis Cosmetic Surgery,224-228-2098,(512) 768-8188,(630) 941-1357,20030407
(866) 761-0959,308-562-4285,Yes,Golden Gate Law,,800-704-0151,(619) 653-1229,(630) 941-1357,20030407
(866) 761-0960,307-475-7825,Yes,Law Offices of Sheila Bayne,,916-696-1662,(619) 378-0921,(630) 941-1357,20030407
(866) 825-6220,308-371-1823,Yes,,,,(630) 941-1581,(630) 941-1417,20030414
(866) 825-6221,308-401-1295,Yes,US Tax Relief Corp,,702-867-9994,(630) 941-1581,(630) 941-1475,20030407
(866) 825-6223,308-371-0137,Yes,Omni Fund/ Senior Mortgage Hotline,,,(630) 941-1581,(630) 941-1417,20030414
(866) 825-6224,308-401-4652,Yes,Zatarian,,562-376-0876,(630) 941-1581,(630) 941-1417,20030414
(866) 825-6225,308-833-6704,Yes,Zatarian,,562-376-0876,(630) 941-1581,(630) 941-1475,20030407
(866) 825-6228,308-737-2480,Yes,Baja Rehab 1 (At will),,619-865-1609,(630) 941-1581,(630) 941-1417,20030414
(866) 825-6229,307-400-6459,Yes,Baja Rehab -Spanish (Fear),,619-722-5237,(630) 941-1581,(630) 941-1475,20030407
